participant,sentence_num,condition,animal,word,RT,sentence,word_num,word_length,position,RT_categorical,RT_categotical,rating,frequency
Par_A,4,match,cat,mary,64,Mary saw a beautiful Siamese cat on her way home from work.,1,4,not critical,short,short,4.8,6791
Par_A,4,match,cat,saw,127,Mary saw a beautiful Siamese cat on her way home from work.,2,3,not critical,long,normal,4.8,24941
Par_A,4,match,cat,a,72,Mary saw a beautiful Siamese cat on her way home from work.,3,1,not critical,short,short,4.8,2136923
Par_A,4,match,cat,beautiful,228,Mary saw a beautiful Siamese cat on her way home from work.,4,9,not critical,long,normal,4.8,8307
Par_A,4,match,cat,siamese,295,Mary saw a beautiful Siamese cat on her way home from work.,5,7,not critical,long,normal,4.8,83
Par_A,4,match,cat,cat,15,Mary saw a beautiful Siamese cat on her way home from work.,6,3,critical,short,short,4.8,3788
Par_A,4,match,cat,on,78,Mary saw a beautiful Siamese cat on her way home from work.,7,2,not critical,short,short,4.8,717612
Par_A,4,match,cat,her,121,Mary saw a beautiful Siamese cat on her way home from work.,8,3,not critical,long,normal,4.8,301315
Par_A,4,match,cat,way,85,Mary saw a beautiful Siamese cat on her way home from work.,9,3,not critical,short,short,4.8,94797
Par_A,4,match,cat,home,161,Mary saw a beautiful Siamese cat on her way home from work.,10,4,not critical,long,normal,4.8,419572
Par_A,4,match,cat,from,28,Mary saw a beautiful Siamese cat on her way home from work.,11,4,not critical,short,short,4.8,88643
Par_A,4,match,cat,work,125,Mary saw a beautiful Siamese cat on her way home from work.,12,4,not critical,long,normal,4.8,405
Par_A,5,match,cat,joshua,182,Joshua said that purring cats are one of the most relaxing things to him.,1,6,not critical,long,normal,5.3,193355
Par_A,5,match,cat,said,140,Joshua said that purring cats are one of the most relaxing things to him.,2,4,not critical,long,normal,5.3,1108428
Par_A,5,match,cat,that,237,Joshua said that purring cats are one of the most relaxing things to him.,3,4,not critical,long,normal,5.3,114
Par_A,5,match,cat,purring,234,Joshua said that purring cats are one of the most relaxing things to him.,4,7,not critical,long,normal,5.3,1530
Par_A,5,match,cat,cats,155,Joshua said that purring cats are one of the most relaxing things to him.,5,4,not critical,long,normal,5.3,459498
Par_A,5,match,cat,are,80,Joshua said that purring cats are one of the most relaxing things to him.,6,3,not critical,short,short,5.3,291900
Par_A,5,match,cat,one,128,Joshua said that purring cats are one of the most relaxing things to him.,7,3,not critical,long,normal,5.3,3009801
Par_A,5,match,cat,of,123,Joshua said that purring cats are one of the most relaxing things to him.,8,2,not critical,long,normal,5.3,5973437
Par_A,5,match,cat,the,34,Joshua said that purring cats are one of the most relaxing things to him.,9,3,not critical,short,short,5.3,96938
Par_A,5,match,cat,most,124,Joshua said that purring cats are one of the most relaxing things to him.,10,4,not critical,long,normal,5.3,665
Par_A,5,match,cat,relaxing,110,Joshua said that purring cats are one of the most relaxing things to him.,11,8,not critical,long,normal,5.3,40472
Par_A,5,match,cat,things,27,Joshua said that purring cats are one of the most relaxing things to him.,12,6,not critical,short,short,5.3,2565070
Par_A,5,match,cat,to,6,Joshua said that purring cats are one of the most relaxing things to him.,13,2,not critical,short,short,5.3,152045
